?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/FBbi_00100000>	"A visualization method that detects a protein self-labelled with a SNAP-tag. A SNAP-tag is an engineered version of the mammalian enzyme AGT that can covalently bind O6-benzylguanine-based ligands."	
<http://purl.obolibrary.org/obo/FBbi_00000022>		
<http://purl.obolibrary.org/obo/FBbi_00000252>		
<http://purl.obolibrary.org/obo/FBbi_00000131>		
<http://purl.obolibrary.org/obo/FBbi_00000482>		
<http://purl.obolibrary.org/obo/FBbi_00000143>		
<http://purl.obolibrary.org/obo/FBbi_00000010>		
<http://purl.obolibrary.org/obo/FBbi_00000591>		
<http://purl.obolibrary.org/obo/FBbi_00000470>		
<http://purl.obolibrary.org/obo/FBbi_00000385>		
<http://purl.obolibrary.org/obo/FBbi_00000361>		
<http://purl.obolibrary.org/obo/FBbi_00000265>	"Methods and devices used for capturing an image of a real object; distinct from images created by artwork"	
<http://purl.obolibrary.org/obo/FBbi_00000494>		
<http://purl.obolibrary.org/obo/FBbi_00000179>		
<http://purl.obolibrary.org/obo/FBbi_00000058>		
<http://purl.obolibrary.org/obo/FBbi_00000046>		
<http://purl.obolibrary.org/obo/FBbi_00000276>		
<http://purl.obolibrary.org/obo/FBbi_00000155>		
<http://purl.obolibrary.org/obo/FBbi_00000167>		
<http://purl.obolibrary.org/obo/FBbi_00000370>	"A form of microscopy that can detect molecularly specific contrasts based on the vibrational spectra of the sample molecules, by producing and detecting Raman-scattered photons."	
<http://purl.obolibrary.org/obo/FBbi_00000034>		
<http://purl.obolibrary.org/obo/FBbi_00001002>		"http://en.wikipedia.org/wiki/X-ray_computed_tomography MeSH:D014057"
<http://purl.obolibrary.org/obo/FBbi_00000391>	"Illumination in the shape of a thin line that is swept over the field of view"	
<http://purl.obolibrary.org/obo/FBbi_00000142>		
<http://purl.obolibrary.org/obo/FBbi_00000493>		
<http://purl.obolibrary.org/obo/FBbi_00000033>		
<http://purl.obolibrary.org/obo/FBbi_00000275>		
<http://purl.obolibrary.org/obo/FBbi_00000365>	"Fluorescence loss in photobleaching; a method of determining whether two populations of fluorophore are in diffusive communication with one another by observing the decrease in brightness of one population when the other population is subjected to continuous photobleaching."	
<http://purl.obolibrary.org/obo/FBbi_00000154>		
<http://purl.obolibrary.org/obo/FBbi_00000021>		
<http://purl.obolibrary.org/obo/FBbi_00000481>		
<http://purl.obolibrary.org/obo/FBbi_00000360>		
<http://purl.obolibrary.org/obo/FBbi_00000384>		
<http://purl.obolibrary.org/obo/FBbi_00000251>		
<http://purl.obolibrary.org/obo/FBbi_00000130>		
<http://purl.obolibrary.org/obo/FBbi_00000069>		
<http://purl.obolibrary.org/obo/FBbi_00000057>		
<http://purl.obolibrary.org/obo/FBbi_00000166>		
<http://purl.obolibrary.org/obo/FBbi_00000178>		
<http://purl.obolibrary.org/obo/FBbi_00000045>		
<http://purl.obolibrary.org/obo/FBbi_00000299>		
<http://purl.obolibrary.org/obo/FBbi_00000398>	"Visualization by depositing a label on the surface of a specimen uniformly (plating), or from a particular direction so that surface topography becomes visible (shadowing)"	
<http://purl.obolibrary.org/obo/GO_0016301>	"Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."	"Reactome:R-HSA-6788855 Reactome:R-HSA-6788867"
<http://purl.obolibrary.org/obo/FBbi_00000579>	"A fragment of a cell, subcellular organelle, or macromolecular complex."	
<http://purl.obolibrary.org/obo/FBbi_00000088>	"Visualization of the connected regions of a cell by filling with a label"	
<http://purl.obolibrary.org/obo/FBbi_00000284>	"Illumination that varies with time; often achieved with pulsed lasers for the purpose of generating very-high peak illumination power"	
<http://purl.obolibrary.org/obo/FBbi_00000197>		
<http://purl.obolibrary.org/obo/FBbi_00000076>		
<http://purl.obolibrary.org/obo/FBbi_00000064>		
<http://purl.obolibrary.org/obo/FBbi_00000294>		
<http://purl.obolibrary.org/obo/FBbi_00000173>		
<http://purl.obolibrary.org/obo/FBbi_00000185>		
<http://purl.obolibrary.org/obo/FBbi_00000052>		
<http://purl.obolibrary.org/obo/FBbi_00000453>	"Fluorophore with ex/em 589/615"	
<http://purl.obolibrary.org/obo/FBbi_00100004>	"A visualization method that detects proteins labeled with the mTurquoise fluorescent protein tag from Aequorea victoria."	
<http://purl.obolibrary.org/obo/FBbi_00000292>	"Illumination restricted to angles that exceed the acceptance angle of the image-forming lens"	
<http://purl.obolibrary.org/obo/FBbi_00000040>		
<http://purl.obolibrary.org/obo/FBbi_00000282>		
<http://purl.obolibrary.org/obo/FBbi_00000161>		
<http://purl.obolibrary.org/obo/FBbi_00000288>	"Scanning by multiple points of light arising from pinholes in a spinning disk that is illuminated by a widefield source"	
<http://purl.obolibrary.org/obo/FBbi_00000618>		
<http://purl.obolibrary.org/obo/FBbi_00000509>		
<http://purl.obolibrary.org/obo/FBbi_00100012>	"A visualization method that detects a red fluorescent protein tag."	
<http://purl.obolibrary.org/obo/FBbi_00000606>		
<http://purl.obolibrary.org/obo/FBbi_00000099>		
<http://purl.obolibrary.org/obo/FBbi_00000087>		
<http://purl.obolibrary.org/obo/FBbi_00000184>		
<http://purl.obolibrary.org/obo/FBbi_00000075>		
<http://purl.obolibrary.org/obo/FBbi_00000196>		
<http://purl.obolibrary.org/obo/FBbi_00000063>		
<http://purl.obolibrary.org/obo/FBbi_00000051>		
<http://purl.obolibrary.org/obo/FBbi_00000281>		
<http://purl.obolibrary.org/obo/FBbi_00000160>		
<http://purl.obolibrary.org/obo/FBbi_00000390>		
<http://purl.obolibrary.org/obo/FBbi_00000172>		
<http://purl.obolibrary.org/obo/FBbi_00000508>		
<http://purl.obolibrary.org/obo/FBbi_00000605>		
<http://purl.obolibrary.org/obo/FBbi_00000617>		
<http://purl.obolibrary.org/obo/FBbi_00000066>		
<http://purl.obolibrary.org/obo/FBbi_00000296>		
<http://purl.obolibrary.org/obo/FBbi_00000175>		
<http://purl.obolibrary.org/obo/FBbi_00100018>	"The property of a material whose refractive index depends on the polarization and propagation direction of light."	
<http://purl.obolibrary.org/obo/FBbi_00000187>		
<http://purl.obolibrary.org/obo/FBbi_00000054>		
<http://purl.obolibrary.org/obo/FBbi_00000151>		
<http://purl.obolibrary.org/obo/FBbi_00000042>		
<http://purl.obolibrary.org/obo/FBbi_00000272>		
<http://purl.obolibrary.org/obo/FBbi_00000163>		
<http://purl.obolibrary.org/obo/FBbi_00000030>		
<http://purl.obolibrary.org/obo/FBbi_00000199>		
<http://purl.obolibrary.org/obo/FBbi_00000078>		
<http://purl.obolibrary.org/obo/FBbi_00000041>	"The staining method involves application of hemalum, which is a complex formed from aluminium ions and oxidized haematoxylin. This colors nuclei of cells (and a few other objects, such as keratohyalin granules) blue. The staining of nuclei by hemalum does not require the presence of DNA and is probably due to binding of the dye-metal complex to arginine-rich basic nucleoproteins such as histones. The mechanism is different from that of nuclear staining by basic (cationic) dyes such as thionine or toluidine blue. Staining by basic dyes is prevented by chemical or enzymatic extraction of nucleic acids. Such extractions do not prevent staining of nuclei by hemalum."	
<http://purl.obolibrary.org/obo/FBbi_00000260>		"http://en.wikipedia.org/wiki/X-ray_microscope"
<http://purl.obolibrary.org/obo/FBbi_00000381>		
<http://purl.obolibrary.org/obo/FBbi_00000490>		
<http://purl.obolibrary.org/obo/FBbi_00000608>		
<http://purl.obolibrary.org/obo/FBbi_00000077>		
<http://purl.obolibrary.org/obo/FBbi_00000186>		
<http://purl.obolibrary.org/obo/FBbi_00000198>		
<http://purl.obolibrary.org/obo/FBbi_00000065>		
<http://purl.obolibrary.org/obo/FBbi_00000053>		
<http://purl.obolibrary.org/obo/FBbi_00000283>		
<http://purl.obolibrary.org/obo/FBbi_00000162>		
<http://purl.obolibrary.org/obo/FBbi_00000269>	"Media and devices employed for recording the alterations in the illumination that result from its interaction with the sample"	
<http://purl.obolibrary.org/obo/FBbi_00000295>		
<http://purl.obolibrary.org/obo/FBbi_00000174>		
<http://purl.obolibrary.org/obo/FBbi_00000150>		
<http://purl.obolibrary.org/obo/FBbi_00000271>		
<http://purl.obolibrary.org/obo/FBbi_00000380>		
<http://purl.obolibrary.org/obo/FBbi_00000607>		
<http://purl.obolibrary.org/obo/FBbi_00000248>	"A form of light microscopy that uses polarized light. Such form can be used to image samples that exibit optical anisotropy."	
<http://purl.obolibrary.org/obo/FBbi_00000096>		
<http://purl.obolibrary.org/obo/FBbi_00000193>		
<http://purl.obolibrary.org/obo/FBbi_00000084>		
<http://purl.obolibrary.org/obo/FBbi_00000072>		
<http://purl.obolibrary.org/obo/FBbi_00000060>		
